,Checking Account,Savings Account,Sex,Property,Duration,Credit Amount,Age,Loan
737,1,2,1,3,18,4380,35,1
738,0,1,1,0,6,6761,45,1
739,2,2,0,3,30,4280,26,0
740,1,2,1,3,24,2325,32,1
741,2,1,1,1,10,1048,23,1
742,0,0,1,2,21,3160,41,1
743,1,3,1,1,24,2483,22,1
744,1,0,1,2,39,14179,30,1
745,1,1,1,2,13,1797,28,1
746,1,1,0,3,15,2511,23,1
747,1,1,0,1,12,1274,37,0
748,0,0,1,3,21,5248,26,1
749,0,1,1,3,15,3029,33,1
750,1,1,0,2,6,428,49,1
751,1,1,0,3,18,976,23,0
752,2,2,0,1,12,841,23,1
753,0,1,0,3,30,5771,25,1
754,0,4,1,0,12,1555,55,0
755,1,0,0,0,24,1285,32,0
756,3,1,1,1,6,1299,74,1
757,3,0,1,0,15,1271,39,0
758,0,1,1,1,24,1393,31,1
759,1,1,1,2,12,691,35,0
760,0,0,0,3,15,5045,59,1
761,1,1,0,1,18,2124,24,0
762,1,1,1,2,12,2214,24,1
763,0,0,1,0,21,12680,30,0
764,0,2,1,2,24,2463,27,1
765,2,1,1,1,12,1155,40,1
766,1,1,1,2,30,3108,31,0
767,0,0,0,1,10,2901,31,1
768,2,1,1,3,12,3617,28,1
769,0,1,1,1,12,1655,63,1
770,1,0,0,1,24,2812,26,1
771,1,1,0,0,36,8065,25,0
772,0,1,1,3,21,3275,36,1
773,0,2,1,2,24,2223,52,1
774,3,3,1,0,12,1480,66,1
775,1,0,0,1,24,1371,25,0
776,0,1,1,3,36,3535,37,1
777,1,1,0,1,18,3509,25,1
778,0,4,1,3,36,5711,38,1
779,2,1,0,3,18,3872,67,1
780,2,1,1,1,39,4933,25,0
781,0,4,1,1,24,1940,60,1
782,2,1,1,1,12,1410,31,1
783,2,2,0,2,12,836,23,0
784,2,0,1,1,20,6468,60,1
785,2,4,1,2,18,1941,35,1
786,0,3,1,3,22,2675,40,1
787,0,0,1,3,48,2751,38,1
788,2,1,1,0,48,6224,50,0
789,1,1,1,0,40,5998,27,0
790,2,1,0,2,21,1188,39,0
791,0,0,1,3,24,6313,41,1
792,0,0,1,2,6,1221,27,1
793,3,1,1,0,24,2892,51,1
794,0,3,1,0,24,3062,32,1
795,0,2,0,2,9,2301,22,1
796,1,0,1,2,18,7511,51,0
797,0,1,0,2,12,1258,22,1
798,0,0,1,3,24,717,54,1
799,2,0,1,1,9,1549,35,1
800,0,1,1,0,24,1597,54,1
801,2,1,0,1,18,1795,48,1
802,1,1,0,2,20,4272,24,1
803,0,0,1,3,12,976,35,1
804,2,0,0,1,12,7472,24,1
805,1,1,1,3,36,9271,24,0
806,2,1,1,1,6,590,26,1
807,0,0,1,1,12,930,65,1
808,2,1,1,0,42,9283,55,1
809,2,1,0,1,15,1778,26,0
810,2,1,1,1,8,907,26,1
811,2,1,1,1,6,484,28,1
812,1,1,1,3,36,9629,24,0
813,1,1,1,3,48,3051,54,0
814,1,1,1,0,48,3931,46,0
815,2,1,0,2,36,7432,54,1
816,0,3,1,1,6,1338,62,1
817,0,1,0,3,6,1554,24,1
818,1,1,1,3,36,15857,43,1
819,1,1,1,1,18,1345,26,0
820,0,1,1,1,12,1101,27,1
821,3,1,1,3,12,3016,24,1
822,1,1,1,2,36,2712,41,0
823,1,1,1,1,8,731,47,1
824,0,1,1,3,18,3780,35,1
825,1,1,1,3,21,1602,30,1
826,1,1,0,1,18,3966,33,0
827,0,1,1,3,18,4165,36,0
828,1,0,1,0,36,8335,47,0
829,2,0,1,0,48,6681,38,1
830,0,3,1,3,24,2375,44,1
831,1,1,0,3,18,1216,23,0
832,1,1,1,3,45,11816,29,0
833,2,0,0,3,24,5084,42,1
834,3,1,0,1,15,2327,25,0
835,1,1,1,3,12,1082,48,0
836,0,0,0,3,12,886,21,1
837,0,1,0,1,4,601,23,1
838,1,1,1,2,24,2957,63,1
839,0,1,1,1,24,2611,46,1
840,1,1,1,2,36,5179,29,0
841,0,1,1,1,21,2993,28,1
842,0,1,0,1,18,1943,23,0
843,0,1,1,3,24,1559,50,1
844,0,1,1,2,18,3422,47,1
845,2,0,1,3,21,3976,35,1
846,0,0,1,3,18,6761,68,0
847,0,1,1,1,24,1249,28,1
848,1,1,1,1,9,1364,59,1
849,1,1,1,1,12,709,57,0
850,1,1,1,2,20,2235,33,0
851,0,0,1,2,24,4042,43,1
852,0,1,1,0,15,1471,35,1
853,1,1,1,0,18,1442,32,0
854,0,1,1,3,36,10875,45,1
855,0,2,1,1,24,1474,33,1
856,0,0,0,2,10,894,40,1
857,0,1,1,0,15,3343,28,1
858,1,1,0,2,15,3959,29,0
859,0,2,1,1,9,3577,26,1
860,0,4,1,1,24,5804,27,1
861,0,1,1,3,18,2169,28,0
862,1,1,0,1,24,2439,35,0
863,0,4,1,1,27,4526,32,1
864,0,1,1,1,10,2210,25,0
865,0,3,0,3,15,2221,20,1
866,1,1,0,3,18,2389,27,1
867,0,1,1,2,12,3331,42,1
868,0,0,1,2,36,7409,37,1
869,1,1,0,2,12,652,24,1
870,0,3,0,3,36,7678,40,1
871,3,1,1,1,6,1343,46,1
872,1,2,1,1,24,1382,26,1
873,0,0,0,1,15,874,24,1
874,1,1,1,2,12,3590,29,1
875,2,4,0,3,11,1322,40,1
876,1,1,1,0,18,1940,36,1
877,0,1,1,3,36,3595,28,1
878,1,1,1,0,9,1422,27,0
879,0,0,1,2,30,6742,36,1
880,0,1,1,3,24,7814,38,1
881,0,0,1,0,24,9277,48,1
882,2,0,1,1,30,2181,36,1
883,0,1,0,3,18,1098,65,1
884,2,1,1,3,24,4057,43,0
885,1,1,0,2,12,795,53,0
886,2,0,1,0,24,2825,34,1
887,2,1,1,3,48,15672,23,0
888,0,1,1,3,36,6614,34,1
889,0,0,1,1,28,7824,40,1
890,1,1,1,3,27,2442,43,1
891,0,1,1,3,15,1829,46,1
892,1,1,1,2,12,2171,38,1
893,2,1,1,3,36,5800,34,1
894,0,0,1,2,18,1169,29,1
895,0,0,1,3,36,8947,31,1
896,1,1,0,2,21,2606,28,1
897,0,4,0,2,12,1592,35,1
898,0,0,0,1,15,2186,33,1
899,1,1,1,3,18,4153,42,0
900,1,1,1,2,16,2625,43,0
901,0,0,1,1,20,3485,44,1
902,0,0,1,0,36,10477,42,1
903,0,0,1,1,15,1386,40,1
904,0,1,1,1,24,1278,36,1
905,1,1,1,1,12,1107,20,1
906,1,0,1,1,21,3763,24,1
907,2,0,1,3,36,3711,27,1
908,0,1,0,2,15,3594,46,1
909,2,0,0,1,9,3195,33,1
910,0,1,0,1,36,4454,34,1
911,2,1,0,3,24,4736,25,0
912,2,0,0,3,30,2991,25,1
913,0,4,1,1,11,2142,28,1
914,1,1,1,2,24,3161,31,0
915,2,1,0,2,48,18424,32,0
916,0,2,1,1,10,2848,32,1
917,1,1,1,0,6,14896,68,0
918,1,2,1,2,24,2359,33,0
919,1,1,1,2,24,3345,39,0
920,0,1,0,0,18,1817,28,1
921,0,3,1,3,48,12749,37,1
922,1,1,0,2,9,1366,22,0
923,2,1,1,2,12,2002,30,1
924,1,1,1,2,24,6872,55,0
925,1,1,1,3,12,697,46,0
926,1,1,0,2,18,1049,21,1
927,1,1,1,0,48,10297,39,0
928,0,0,1,3,30,1867,58,1
929,1,1,1,1,12,1344,43,1
930,1,1,1,2,24,1747,24,1
931,2,1,0,3,9,1670,22,0
932,0,1,1,1,9,1224,30,1
933,0,3,1,2,12,522,42,1
934,1,1,0,3,12,1498,23,1
935,2,2,1,0,30,1919,30,0
936,3,1,0,1,9,745,28,0
937,2,1,1,3,6,2063,30,1
938,2,1,1,0,60,6288,42,0
939,0,0,1,2,24,6842,46,1
940,0,0,1,2,12,3527,45,1
941,0,1,1,1,10,1546,31,1
942,0,0,1,3,24,929,31,1
943,0,1,1,1,4,1455,42,1
944,1,1,0,2,15,1845,46,1
945,2,3,0,3,48,8358,30,1
946,1,3,1,0,24,3349,30,0
947,0,0,1,0,12,2859,38,1
948,0,1,1,2,18,1533,43,0
949,0,2,1,3,24,3621,31,0
950,2,1,1,3,18,3590,40,1
951,1,1,1,3,36,2145,24,0
952,2,3,0,3,24,4113,28,0
953,0,1,0,3,36,10974,26,0
954,1,1,0,2,12,1893,29,1
955,1,4,0,2,24,1231,57,1
956,3,0,1,2,30,3656,49,1
957,2,1,1,1,9,1154,37,1
958,1,1,1,3,28,4006,45,0
959,2,2,1,0,24,3069,30,1
960,0,1,1,1,6,1740,30,1
961,2,1,1,2,21,2353,47,1
962,0,0,1,0,15,3556,29,1
963,0,3,1,3,24,2397,35,0
964,2,1,1,2,6,454,22,1
965,2,0,0,3,30,1715,26,1
966,2,3,1,2,27,2520,23,0
967,0,1,0,3,15,3568,54,1
968,0,0,1,2,42,7166,29,1
969,1,1,1,1,11,3939,40,1
970,2,2,1,1,15,1514,22,1
971,0,1,1,2,24,7393,43,1
972,1,1,0,0,24,1193,29,0
973,1,1,1,0,60,7297,36,0
974,0,1,0,3,30,2831,33,1
975,3,3,0,3,24,1258,57,1
976,2,1,0,1,6,753,64,1
977,2,0,1,2,18,2427,42,1
978,0,1,1,3,24,2538,47,0
979,2,2,1,2,15,1264,25,0
980,2,1,1,2,30,8386,49,0
981,0,1,1,3,48,4844,33,0
982,3,2,0,3,21,2923,28,1
983,1,1,1,2,36,8229,26,0
984,0,1,1,2,24,2028,30,1
985,1,1,0,2,15,1433,25,1
986,3,1,1,2,42,6289,33,1
987,0,2,0,1,13,1409,64,1
988,1,1,1,0,24,6579,29,1
989,2,1,1,2,24,1743,48,1
990,0,0,1,2,12,3565,37,1
991,0,2,1,3,15,1569,34,1
992,1,0,1,3,18,1936,23,1
993,1,1,1,2,36,3959,30,1
994,0,0,1,3,12,2390,50,1
995,0,1,0,1,12,1736,31,1
996,1,1,1,2,30,3857,40,1
997,0,1,1,3,12,804,38,1
998,1,1,1,0,45,1845,23,0
999,2,2,1,3,45,4576,27,1
